"gene_id","Control72h1","Control72h2","Control72h3","OVA72h1","OVA72h2","OVA72h3","OVA72h4"
"Tdrd12",0.022824589,0.013235277,0.012516062,0.040796777,0.109887089,0.0389045,0.113232777
"Tdrd3",8.661264976,8.087737783,8.325838778,6.727056756,6.847519948,6.908675594,6.590581189
"Tdrd5",0.964565344,0.958872498,1.205814303,0.628447845,0.911050988,0.6301412,0.806675005
"Tdrd6",0.084589808,0.153546001,0.117774893,0.039316059,0.009979903,0,0.040756654
"Tdrd7",14.08761059,13.11976156,13.4697155,12.21480516,13.06654926,13.99162338,11.75029838
"Tdrd9",0.015165715,0.035000773,0.033376334,0,0,0,0
"Tdrkh",0.335290893,0.58156764,0.413413614,0.45415587,0.298908759,0.565457145,0.450407263
"Tdrp",8.067609425,7.931115821,8.042406897,5.886062761,6.108513066,5.927860425,6.803025263
"Tead1",59.60191153,66.088525,68.38495603,25.06122341,28.76792375,30.94239652,32.47049482
"Tead2",9.754492999,7.615935644,8.835897478,7.008596771,7.503499563,6.907435239,7.658895426
"Tead3",9.490286444,8.449563684,9.422553377,7.943718098,7.672034533,5.929519617,8.654807572
"Tead4",4.528429384,4.134682592,4.968756226,2.056789105,2.595682151,3.424073396,2.381266666
"Tec",1.515126856,1.94722061,1.445392719,3.197140993,2.802200846,2.677066515,3.06298559
"Tecpr1",50.42275885,60.09021986,64.77357618,26.50233476,29.31310238,30.65288835,35.16502635
"Tecpr2",7.55099301,10.07606282,9.303834142,5.904966588,6.898339051,5.54500627,6.57003885
"Tecr",16.83080723,16.15916113,15.00665682,15.36205152,17.72821295,14.83926753,16.33623766
"Tecrl",1.559010808,1.70000025,0.978662556,0.481346265,0.50131682,0.761688568,0.504016478
"Tecta",0,0.027484441,0.012909657,0.026957115,0,0.027263446,0.029331179
"Tectb",0.089309379,0.081371574,0.056436964,0.277019542,0,0.124014592,0.064195896
"Tedc1",2.030877527,3.463685403,1.65598058,5.866640728,3.834840873,4.07489053,5.221131615
"Tedc2",3.403810635,3.160407786,3.064635932,4.776017531,3.971047398,3.951412455,3.907839612
"Teddm1a",0,0.139097751,0.052458516,0,0,0,0
"Teddm1b",0.002674376,0.035851567,0,0,0,0.03550376,0
"Teddm2",0.00448116,0.062053197,0.031949507,0.01063821,0.042880822,0.051174938,0
"Teddm3",0,0.007735984,0,0.018302768,0.012802045,0.017738207,0
"Tef",93.16803726,99.22492003,106.3470984,43.65143908,47.72140138,61.78207145,47.74725362
"Tefm",3.303758894,4.516112107,3.097938015,5.032056719,4.837097459,5.313879825,5.001149052
"Tek",408.0938512,352.1897127,429.4180293,158.2325715,218.1728685,219.1599187,210.2486146
"Tekt1",9.162798698,9.922324476,7.505843909,9.635544552,7.496693306,10.70656409,9.357977565
"Tekt2",5.405783349,7.667330751,4.877023764,3.962666804,3.617196133,3.962292288,4.761307377
"Tekt3",0.173848737,0.566848935,0.111227978,0.134362396,0.407357793,0.438758375,0.581508193
"Tekt4",2.157213929,3.586862359,2.142696157,3.725274719,2.455209406,3.284942515,3.772282518
"Tekt5",2.584672643,2.231215543,2.877756745,1.554975778,1.152412204,2.873076865,1.872302169
"Telo2",0.915492432,1.381481125,0.782092765,1.002681182,0.981104886,1.062397466,1.140385776
"Ten1",0.930937422,0.936337984,1.077468931,1.895006256,1.76706578,1.473011843,1.618493586
"Tenm1",0,0,0,0,0,0,0
"Tenm2",0,0,0,0,0,0,0
"Tenm3",0.142978976,0.286191588,0.124365098,0.109973746,0,0.199111231,0.247137488
"Tenm4",0.185028125,0.455768506,0.310202383,0.351131841,0.112583968,0.183076037,0.139709858
"Tent2",6.708497807,9.94991466,9.231177002,8.590337075,7.225488687,7.248352501,6.679633339
"Tent4a",4.954465159,4.799571266,5.472126984,3.699066739,3.900853644,3.926410577,4.288310328
"Tent4b",37.48013022,33.11217612,35.07950015,24.00118311,26.79151745,26.82455516,23.3248876
"Tent5a",18.86475637,16.08858208,14.43878336,15.72535669,14.97027924,17.39470492,14.58165624
"Tent5b",4.80247582,9.637914181,6.821417295,2.905169548,3.261701743,4.095247929,2.58177428
"Tent5c",2.3573008,2.353400139,2.071302276,2.998788426,3.299690145,3.397280497,3.308747444
"Tent5d",0,0,0,0,0,0,0
"Tep1",12.64811174,14.93313488,14.70477063,14.78166262,14.15921551,12.52237686,16.14444301
"Tepp",0.2434941,0.2597043,0.3733287,0.1162371,0.2383917,0.1749828,0.056064
"Tepsin",6.036688345,6.463139125,7.592894117,7.643351858,7.260655518,6.51441569,7.582693042
"Terb1",0.03132489,0.074494004,0,0.195420591,0.077503836,0.171352337,0.097063845
